V01000 V04001 V04002 V04003 V10004 V10201 V10202 V12001 V12052 V12053 V13004 V13003 V13007 V13201 V13241 V13242 V11002 V11042 V11212 V11041 V11043 V14032
58362 2014 6 13 10065 10073 10050 261 318 200 209 64 39 0 32766 37 16 36 3 60 4 62 
58362 2014 6 14 10073 10083 10065 273 327 223 206 59 33 0 32766 42 19 48 5 74 4 82 
58362 2014 6 15 10072 10086 10056 259 279 241 223 67 51 32700 32766 29 16 41 4 67 5 0 
58362 2014 6 16 10038 10072 10017 232 246 224 243 86 72 32700 32766 28 40 57 6 108 7 0 
58362 2014 6 17 10013 10032 9994 221 234 210 246 92 87 74 32766 13 15 41 7 66 7 0 
58362 2014 6 18 10054 10066 10032 220 246 204 210 80 67 32700 32766 24 24 39 4 64 5 4 
58362 2014 6 19 10045 10065 10026 236 270 207 228 79 68 0 32766 29 30 43 6 77 6 30 
58362 2014 6 20 10025 10046 10011 233 253 227 263 92 81 19 32766 16 25 42 7 93 7 0 
58362 2014 6 21 10040 10059 10024 223 236 217 254 94 91 301 32766 22 20 38 3 70 3 0 
58362 2014 6 22 10078 10089 10059 226 251 210 229 84 70 8 32766 14 16 38 4 55 4 0 
58362 2014 6 23 10075 10093 10058 226 254 205 226 83 68 4 32766 17 11 43 8 69 8 10 
58362 2014 6 24 10063 10083 10047 244 285 199 239 79 61 0 32766 20 24 47 4 75 5 58 
58362 2014 6 25 10065 10078 10052 223 250 203 234 87 77 205 32766 15 26 43 6 73 6 0 
58362 2014 6 26 10046 10075 10027 216 222 200 245 95 92 572 32766 29 30 42 6 73 6 0 
58362 2014 6 27 10057 10069 10033 223 238 213 244 91 83 92 32766 21 13 33 4 51 4 0 
58362 2014 6 28 10064 10075 10046 242 298 197 252 85 57 161 32766 16 9 41 11 77 10 17 
58362 2014 6 29 10070 10080 10060 256 301 212 241 74 54 0 32766 23 17 30 4 49 9 13 
58362 2014 6 30 10093 10104 10073 245 284 225 223 74 42 26 32766 25 22 37 9 64 9 20 
58362 2014 7 1 10092 10108 10078 223 234 206 240 89 79 373 32766 20 17 46 6 79 6 0 
58362 2014 7 2 10030 10080 10010 243 267 214 282 93 83 96 32766 17 23 41 13 75 7 0 
58362 2014 7 3 10031 10043 10021 252 294 223 251 79 53 1 32766 25 23 36 16 65 13 58 
58362 2014 7 4 10060 10078 10042 242 262 224 248 82 74 7 32766 21 35 47 5 94 6 0 
58362 2014 7 5 10039 10078 10004 255 279 222 285 87 76 56 32766 12 27 46 7 90 7 0 
58362 2014 7 6 10040 10048 10023 248 270 219 251 81 68 217 32766 37 29 60 14 107 12 7 
58362 2014 7 7 10050 10066 10035 246 286 219 249 81 63 0 32766 27 20 41 6 66 6 36 
58362 2014 7 8 10027 10054 10003 252 283 228 263 82 68 0 32766 36 26 51 4 80 4 35 
58362 2014 7 9 9991 10014 9973 271 302 234 280 79 64 0 32766 50 40 62 15 128 16 66 
58362 2014 7 10 10018 10027 10002 289 336 240 305 78 54 0 32766 28 15 38 4 63 4 78 
58362 2014 7 11 10028 10036 10017 282 322 258 320 84 64 88 32766 31 18 41 5 73 15 55 
58362 2014 7 12 10022 10044 10009 273 341 249 315 87 56 106 32766 27 22 56 2 99 2 30 
58362 2014 7 13 10052 10067 10017 244 259 229 272 89 75 324 32766 22 20 57 14 104 14 0 
58362 2014 7 14 10077 10086 10064 257 291 223 271 83 67 32700 32766 15 16 46 4 76 4 26 
58362 2014 7 15 10087 10100 10073 239 261 214 276 93 76 363 32766 10 8 42 4 62 4 0 
58362 2014 7 16 10087 10101 10075 265 308 231 291 85 61 9 32766 20 11 39 12 61 11 6 
58362 2014 7 17 10086 10099 10075 295 339 259 304 75 54 0 32766 22 26 39 10 67 8 58 
58362 2014 7 18 10095 10104 10083 296 330 276 316 77 59 0 32766 26 20 45 7 84 7 15 
58362 2014 7 19 10102 10113 10089 298 334 278 314 75 58 0 32766 25 20 47 9 82 9 0 
58362 2014 7 20 10090 10109 10068 298 333 263 319 76 64 0 32766 41 27 52 4 78 4 116 
58362 2014 7 21 10064 10086 10046 304 347 265 313 73 52 0 32766 56 27 40 8 68 7 77 
58362 2014 7 22 10053 10068 10029 305 350 272 305 71 48 0 32766 58 27 49 7 80 5 127 
58362 2014 7 23 10034 10054 10016 309 348 278 317 72 55 0 32766 62 45 52 7 90 8 121 
58362 2014 7 24 9996 10034 9969 303 330 288 321 75 62 0 32766 56 34 79 8 147 8 28 
58362 2014 7 25 10007 10065 9953 294 317 268 300 73 61 22 32766 48 67 87 11 210 10 0 
58362 2014 7 26 10099 10110 10065 281 313 261 291 77 63 8 32766 26 25 45 4 68 4 22 
58362 2014 7 27 10093 10115 10058 263 300 232 306 90 76 224 32766 31 20 69 13 132 13 11 
58362 2014 7 28 10065 10085 10041 274 315 232 297 82 61 24 32766 31 20 36 2 60 3 70 
58362 2014 7 29 10060 10074 10043 298 341 264 309 75 53 0 32766 43 28 47 8 82 7 46 
58362 2014 7 30 10059 10073 10042 304 346 274 313 73 51 0 32766 59 34 51 6 90 6 114 
58362 2014 7 31 10039 10063 10020 296 318 281 329 80 66 4 32766 60 37 67 5 112 4 92 
58362 2014 8 1 9985 10030 9963 265 285 255 300 87 79 284 32766 38 41 61 3 124 3 0 
58362 2014 8 2 9953 9973 9936 266 302 251 294 85 69 40 32766 25 51 71 15 147 15 10 
58362 2014 8 3 9995 10011 9973 296 338 264 305 75 55 0 32766 33 30 64 13 106 14 80 
58362 2014 8 4 10021 10029 10011 310 352 265 313 71 52 0 32766 38 17 36 4 56 6 52 
58362 2014 8 5 10034 10044 10022 307 343 273 327 75 59 0 32766 46 22 52 4 83 5 115 
58362 2014 8 6 10029 10049 10011 299 336 275 320 76 65 0 32766 44 20 50 4 76 5 40 
58362 2014 8 7 10025 10043 10005 293 332 269 315 78 58 10 32766 49 30 50 6 91 6 55 
58362 2014 8 8 10025 10038 10016 281 298 267 312 82 78 24 32766 24 28 40 4 69 7 3 
58362 2014 8 9 10034 10046 10023 261 275 247 305 90 83 147 32766 21 10 31 5 61 4 0 
58362 2014 8 10 10032 10044 10023 258 288 245 276 83 67 8 32766 24 18 45 14 78 14 0 
58362 2014 8 11 10044 10057 10034 263 293 235 255 75 55 0 32766 36 21 37 3 66 5 66 
58362 2014 8 12 10052 10061 10043 260 271 247 241 72 58 0 32766 34 16 36 5 68 4 0 
58362 2014 8 13 10044 10065 10026 272 302 250 277 77 60 0 32766 37 28 55 5 89 4 46 
58362 2014 8 14 10053 10082 10036 257 283 239 296 89 80 56 32766 22 26 59 4 107 4 0 
58362 2014 8 15 10099 10108 10081 246 277 237 266 86 64 32700 32766 17 19 38 4 54 3 0 
58362 2014 8 16 10093 10105 10082 258 279 236 255 77 65 0 32766 26 27 49 5 83 4 11 
58362 2014 8 17 10066 10088 10057 233 255 217 261 92 78 161 32766 20 34 47 4 93 5 0 
58362 2014 8 18 10097 10107 10074 232 244 222 266 94 88 354 32766 8 11 30 13 57 15 0 
58362 2014 8 19 10110 10125 10101 227 241 213 255 92 88 235 32766 6 6 26 1 47 1 0 
58362 2014 8 20 10095 10115 10078 229 235 222 256 92 86 291 32766 8 18 42 16 88 1 0 
58362 2014 8 21 10104 10116 10094 245 289 196 251 83 61 0 32766 19 15 30 5 55 1 61 
58362 2014 8 22 10102 10115 10082 265 298 228 292 85 71 0 32766 16 20 48 4 76 5 18 
58362 2014 8 23 10079 10096 10057 277 311 256 316 85 65 28 32766 16 11 40 4 60 4 26 
58362 2014 8 24 10056 10075 10033 292 341 255 303 76 55 1 32766 23 28 50 15 107 16 56 
58362 2014 8 25 10097 10118 10059 266 296 243 258 75 58 407 32766 32766 30 58 15 93 15 40 
58362 2014 8 26 10139 10153 10118 261 298 229 247 74 55 1 32766 33 11 31 4 55 3 37 
58362 2014 8 27 10144 10153 10133 230 258 209 225 80 68 31 32766 31 24 47 9 74 5 0 
58362 2014 8 28 10139 10152 10125 247 282 229 260 84 73 32700 32766 22 26 41 4 62 4 31 
58362 2014 8 29 10132 10145 10117 251 275 233 275 87 75 139 32766 20 12 61 16 121 16 0 
58362 2014 8 30 10130 10145 10113 254 287 231 255 80 63 0 32766 37 23 45 2 75 2 89 
58362 2014 8 31 10101 10128 10085 252 273 238 265 83 73 76 32766 23 26 42 3 68 7 5 
58362 2014 9 1 10083 10095 10067 262 290 241 291 86 73 595 32766 46 36 80 12 117 14 16 
58362 2014 9 2 10079 10099 10057 265 318 238 285 83 60 132 32766 27 32 50 14 94 15 53 
